delta_group,omnibus_test,omnibus_p,omnibus_significant_0.05,pairwise_test,comparison,statistic,p_raw,p_holm,significant_0.05,sig,n_pooled_control,normality_p_pooled_control,n_800nm_pulsed_120s,normality_p_800nm_pulsed_120s,n_shg_10mW_2s,normality_p_shg_10mW_2s,n_uvc_6W_2s,normality_p_uvc_6W_2s,n_uvc_6W_5s,normality_p_uvc_6W_5s
delta_2c_4c,Kruskal-Wallis,5.5504564168164196e-17,True,Mann-Whitney U,400nm SHG 10mW 2s vs UVC 6W 2s,483.5,2.314507838734712e-05,0.00013887047032408272,True,***,93,2.3959669470004393e-10,35,0.013159487986617778,18,3.554127489905569e-05,31,0.00352795426584098,29,0.000174913072044598
delta_2c_4c,Kruskal-Wallis,5.5504564168164196e-17,True,Mann-Whitney U,400nm SHG 10mW 2s vs UVC 6W 5s,332.5,0.1202124152707845,0.240424830541569,False,ns,93,2.3959669470004393e-10,35,0.013159487986617778,18,3.554127489905569e-05,31,0.00352795426584098,29,0.000174913072044598
delta_2c_4c,Kruskal-Wallis,5.5504564168164196e-17,True,Mann-Whitney U,800nm pulsed 120s vs 400nm SHG 10mW 2s,71.5,5.011803454596934e-06,3.508262418217854e-05,True,***,93,2.3959669470004393e-10,35,0.013159487986617778,18,3.554127489905569e-05,31,0.00352795426584098,29,0.000174913072044598
delta_2c_4c,Kruskal-Wallis,5.5504564168164196e-17,True,Mann-Whitney U,800nm pulsed 120s vs UVC 6W 2s,519.0,0.767581511330623,0.767581511330623,False,ns,93,2.3959669470004393e-10,35,0.013159487986617778,18,3.554127489905569e-05,31,0.00352795426584098,29,0.000174913072044598
delta_2c_4c,Kruskal-Wallis,5.5504564168164196e-17,True,Mann-Whitney U,800nm pulsed 120s vs UVC 6W 5s,153.0,1.8024087738401316e-06,1.4419270190721053e-05,True,***,93,2.3959669470004393e-10,35,0.013159487986617778,18,3.554127489905569e-05,31,0.00352795426584098,29,0.000174913072044598
delta_2c_4c,Kruskal-Wallis,5.5504564168164196e-17,True,Mann-Whitney U,Pooled control vs 400nm SHG 10mW 2s,82.5,1.5062039505169222e-09,1.3555835554652299e-08,True,***,93,2.3959669470004393e-10,35,0.013159487986617778,18,3.554127489905569e-05,31,0.00352795426584098,29,0.000174913072044598
delta_2c_4c,Kruskal-Wallis,5.5504564168164196e-17,True,Mann-Whitney U,Pooled control vs 800nm pulsed 120s,998.0,0.0007615150893849191,0.0030460603575396764,True,**,93,2.3959669470004393e-10,35,0.013159487986617778,18,3.554127489905569e-05,31,0.00352795426584098,29,0.000174913072044598
delta_2c_4c,Kruskal-Wallis,5.5504564168164196e-17,True,Mann-Whitney U,Pooled control vs UVC 6W 2s,859.5,0.000779770610482471,0.0030460603575396764,True,**,93,2.3959669470004393e-10,35,0.013159487986617778,18,3.554127489905569e-05,31,0.00352795426584098,29,0.000174913072044598
delta_2c_4c,Kruskal-Wallis,5.5504564168164196e-17,True,Mann-Whitney U,Pooled control vs UVC 6W 5s,222.0,1.1964705594369347e-11,1.1964705594369346e-10,True,***,93,2.3959669470004393e-10,35,0.013159487986617778,18,3.554127489905569e-05,31,0.00352795426584098,29,0.000174913072044598
delta_2c_4c,Kruskal-Wallis,5.5504564168164196e-17,True,Mann-Whitney U,UVC 6W 2s vs UVC 6W 5s,165.0,2.652655809415087e-05,0.00013887047032408272,True,***,93,2.3959669470004393e-10,35,0.013159487986617778,18,3.554127489905569e-05,31,0.00352795426584098,29,0.000174913072044598
delta_4c_bean,Kruskal-Wallis,1.3248894291709549e-14,True,Mann-Whitney U,400nm SHG 10mW 2s vs UVC 6W 2s,330.0,0.1547725625100734,0.4643176875302202,False,ns,93,0.7694534470987658,35,0.01657637084087562,17,0.06731818319861618,31,2.7694889235718194e-07,27,0.2244542680910118
delta_4c_bean,Kruskal-Wallis,1.3248894291709549e-14,True,Mann-Whitney U,400nm SHG 10mW 2s vs UVC 6W 5s,215.5,0.7448729425469798,0.7448729425469798,False,ns,93,0.7694534470987658,35,0.01657637084087562,17,0.06731818319861618,31,2.7694889235718194e-07,27,0.2244542680910118
delta_4c_bean,Kruskal-Wallis,1.3248894291709549e-14,True,Mann-Whitney U,800nm pulsed 120s vs 400nm SHG 10mW 2s,196.0,0.04880790028137536,0.19523160112550145,False,ns,93,0.7694534470987658,35,0.01657637084087562,17,0.06731818319861618,31,2.7694889235718194e-07,27,0.2244542680910118
delta_4c_bean,Kruskal-Wallis,1.3248894291709549e-14,True,Mann-Whitney U,800nm pulsed 120s vs UVC 6W 2s,470.5,0.3582598769412789,0.7165197538825578,False,ns,93,0.7694534470987658,35,0.01657637084087562,17,0.06731818319861618,31,2.7694889235718194e-07,27,0.2244542680910118
delta_4c_bean,Kruskal-Wallis,1.3248894291709549e-14,True,Mann-Whitney U,800nm pulsed 120s vs UVC 6W 5s,252.5,0.0018308842070797707,0.009154421035398853,True,**,93,0.7694534470987658,35,0.01657637084087562,17,0.06731818319861618,31,2.7694889235718194e-07,27,0.2244542680910118
delta_4c_bean,Kruskal-Wallis,1.3248894291709549e-14,True,Mann-Whitney U,Pooled control vs 400nm SHG 10mW 2s,260.0,1.1670119693979883e-05,9.336095755183906e-05,True,***,93,0.7694534470987658,35,0.01657637084087562,17,0.06731818319861618,31,2.7694889235718194e-07,27,0.2244542680910118
delta_4c_bean,Kruskal-Wallis,1.3248894291709549e-14,True,Mann-Whitney U,Pooled control vs 800nm pulsed 120s,931.0,0.0001983121987497466,0.0013881853912482262,True,**,93,0.7694534470987658,35,0.01657637084087562,17,0.06731818319861618,31,2.7694889235718194e-07,27,0.2244542680910118
delta_4c_bean,Kruskal-Wallis,1.3248894291709549e-14,True,Mann-Whitney U,Pooled control vs UVC 6W 2s,480.0,2.9187339643591668e-08,2.62686056792325e-07,True,***,93,0.7694534470987658,35,0.01657637084087562,17,0.06731818319861618,31,2.7694889235718194e-07,27,0.2244542680910118
delta_4c_bean,Kruskal-Wallis,1.3248894291709549e-14,True,Mann-Whitney U,Pooled control vs UVC 6W 5s,197.0,2.931714952306282e-11,2.9317149523062816e-10,True,***,93,0.7694534470987658,35,0.01657637084087562,17,0.06731818319861618,31,2.7694889235718194e-07,27,0.2244542680910118
delta_4c_bean,Kruskal-Wallis,1.3248894291709549e-14,True,Mann-Whitney U,UVC 6W 2s vs UVC 6W 5s,213.0,0.0013945726000468958,0.008367435600281374,True,**,93,0.7694534470987658,35,0.01657637084087562,17,0.06731818319861618,31,2.7694889235718194e-07,27,0.2244542680910118
delta_bean_move,Kruskal-Wallis,4.8670307893480145e-09,True,Mann-Whitney U,400nm SHG 10mW 2s vs UVC 6W 2s,435.0,2.7737104405629303e-05,0.00022189683524503442,True,***,93,3.8098872301411557e-06,35,0.0022080176826803476,16,0.17494763788791215,31,0.08636686783526644,27,8.135416257963669e-05
delta_bean_move,Kruskal-Wallis,4.8670307893480145e-09,True,Mann-Whitney U,400nm SHG 10mW 2s vs UVC 6W 5s,362.0,0.0002481764642773597,0.001489058785664158,True,**,93,3.8098872301411557e-06,35,0.0022080176826803476,16,0.17494763788791215,31,0.08636686783526644,27,8.135416257963669e-05
delta_bean_move,Kruskal-Wallis,4.8670307893480145e-09,True,Mann-Whitney U,800nm pulsed 120s vs 400nm SHG 10mW 2s,155.0,0.011474193524197313,0.05737096762098656,False,ns,93,3.8098872301411557e-06,35,0.0022080176826803476,16,0.17494763788791215,31,0.08636686783526644,27,8.135416257963669e-05
delta_bean_move,Kruskal-Wallis,4.8670307893480145e-09,True,Mann-Whitney U,800nm pulsed 120s vs UVC 6W 2s,837.0,0.00015698980471261833,0.0010989286329883283,True,**,93,3.8098872301411557e-06,35,0.0022080176826803476,16,0.17494763788791215,31,0.08636686783526644,27,8.135416257963669e-05
delta_bean_move,Kruskal-Wallis,4.8670307893480145e-09,True,Mann-Whitney U,800nm pulsed 120s vs UVC 6W 5s,649.0,0.012378205457689018,0.05737096762098656,False,ns,93,3.8098872301411557e-06,35,0.0022080176826803476,16,0.17494763788791215,31,0.08636686783526644,27,8.135416257963669e-05
delta_bean_move,Kruskal-Wallis,4.8670307893480145e-09,True,Mann-Whitney U,Pooled control vs 400nm SHG 10mW 2s,186.0,1.7518684466981373e-06,1.751868446698137e-05,True,***,93,3.8098872301411557e-06,35,0.0022080176826803476,16,0.17494763788791215,31,0.08636686783526644,27,8.135416257963669e-05
delta_bean_move,Kruskal-Wallis,4.8670307893480145e-09,True,Mann-Whitney U,Pooled control vs 800nm pulsed 120s,766.0,4.0771471624283565e-06,3.669432446185521e-05,True,***,93,3.8098872301411557e-06,35,0.0022080176826803476,16,0.17494763788791215,31,0.08636686783526644,27,8.135416257963669e-05
delta_bean_move,Kruskal-Wallis,4.8670307893480145e-09,True,Mann-Whitney U,Pooled control vs UVC 6W 2s,1542.0,0.5630760128026644,0.5630760128026644,False,ns,93,3.8098872301411557e-06,35,0.0022080176826803476,16,0.17494763788791215,31,0.08636686783526644,27,8.135416257963669e-05
delta_bean_move,Kruskal-Wallis,4.8670307893480145e-09,True,Mann-Whitney U,Pooled control vs UVC 6W 5s,920.5,0.03518895788920957,0.10556687366762871,False,ns,93,3.8098872301411557e-06,35,0.0022080176826803476,16,0.17494763788791215,31,0.08636686783526644,27,8.135416257963669e-05
delta_bean_move,Kruskal-Wallis,4.8670307893480145e-09,True,Mann-Whitney U,UVC 6W 2s vs UVC 6W 5s,300.5,0.06625809002385308,0.13251618004770616,False,ns,93,3.8098872301411557e-06,35,0.0022080176826803476,16,0.17494763788791215,31,0.08636686783526644,27,8.135416257963669e-05
