stage,comparison,n_group1,n_group2,median_group1_h,median_group2_h,median_diff_h_(g2-g1),mean_group1_h,mean_group2_h,mean_diff_h_(g2-g1),sd_group1_h,sd_group2_h,p_holm,sig
2-cell,400nm SHG 10mW 2s vs UVC 6W 2s,21,31,78.5,41.199999999999996,-37.300000000000004,101.21428571428571,46.62903225806453,-54.58525345622118,68.02289530528884,25.668076067992672,0.0002735900404505977,***
2-cell,800nm pulsed 120s vs 400nm SHG 10mW 2s,35,21,31.89999999999999,78.5,46.60000000000001,33.04,101.21428571428571,68.1742857142857,6.671193561081237,68.02289530528884,4.70680360241047e-08,***
2-cell,800nm pulsed 120s vs UVC 6W 2s,35,31,31.89999999999999,41.199999999999996,9.300000000000004,33.04,46.62903225806453,13.589032258064528,6.671193561081237,25.668076067992672,0.003831308538668941,**
2-cell,800nm pulsed 120s vs UVC 6W 5s,35,29,31.89999999999999,79.9,48.000000000000014,33.04,119.19655172413795,86.15655172413796,6.671193561081237,108.19978704348802,2.4019572450995424e-09,***
2-cell,Pooled control vs 400nm SHG 10mW 2s,93,21,26.599999999999998,78.5,51.900000000000006,27.446236559139784,101.21428571428571,73.76804915514592,7.999898900716956,68.02289530528884,6.284381513263607e-11,***
2-cell,Pooled control vs 800nm pulsed 120s,93,35,26.599999999999998,31.89999999999999,5.299999999999994,27.446236559139784,33.04,5.593763440860215,7.999898900716956,6.671193561081237,0.0002735900404505977,***
2-cell,Pooled control vs UVC 6W 2s,93,31,26.599999999999998,41.199999999999996,14.599999999999998,27.446236559139784,46.62903225806453,19.182795698924743,7.999898900716956,25.668076067992672,3.898064451137542e-08,***
2-cell,Pooled control vs UVC 6W 5s,93,29,26.599999999999998,79.9,53.30000000000001,27.446236559139784,119.19655172413795,91.75031516499817,7.999898900716956,108.19978704348802,5.53209936653464e-14,***
2-cell,UVC 6W 2s vs UVC 6W 5s,31,29,41.199999999999996,79.9,38.70000000000001,46.62903225806453,119.19655172413795,72.56751946607342,25.668076067992672,108.19978704348802,2.79402342554291e-05,***
4-cell,400nm SHG 10mW 2s vs UVC 6W 2s,18,31,102.0,59.099999999999994,-42.900000000000006,136.72222222222223,64.81612903225806,-71.90609318996417,99.865530504807,28.482955099195657,0.000544443064886875,***
4-cell,800nm pulsed 120s vs 400nm SHG 10mW 2s,35,18,51.3,102.0,50.7,50.542857142857144,136.72222222222223,86.17936507936508,8.237585515553112,99.865530504807,4.913804673780557e-07,***
4-cell,800nm pulsed 120s vs UVC 6W 2s,35,31,51.3,59.099999999999994,7.799999999999997,50.542857142857144,64.81612903225806,14.273271889400917,8.237585515553112,28.482955099195657,0.017855768450790618,*
4-cell,800nm pulsed 120s vs UVC 6W 5s,35,29,51.3,103.9,52.60000000000001,50.542857142857144,146.78620689655173,96.24334975369459,8.237585515553112,117.84475782067189,4.78806071246726e-09,***
4-cell,Pooled control vs 400nm SHG 10mW 2s,93,18,42.5,102.0,59.5,42.979569892473116,136.72222222222223,93.74265232974912,9.943280002308146,99.865530504807,1.1228807322776372e-09,***
4-cell,Pooled control vs 800nm pulsed 120s,93,35,42.5,51.3,8.799999999999997,42.979569892473116,50.542857142857144,7.563287250384029,9.943280002308146,8.237585515553112,0.00024291114305108842,***
4-cell,Pooled control vs UVC 6W 2s,93,31,42.5,59.099999999999994,16.599999999999994,42.979569892473116,64.81612903225806,21.836559139784946,9.943280002308146,28.482955099195657,2.791899367313103e-07,***
4-cell,Pooled control vs UVC 6W 5s,93,29,42.5,103.9,61.400000000000006,42.979569892473116,146.78620689655173,103.80663700407862,9.943280002308146,117.84475782067189,9.582015540303126e-14,***
4-cell,UVC 6W 2s vs UVC 6W 5s,31,29,59.099999999999994,103.9,44.80000000000001,64.81612903225806,146.78620689655173,81.97007786429367,28.482955099195657,117.84475782067189,3.214641323993189e-05,***
Bean,400nm SHG 10mW 2s vs UVC 6W 2s,17,31,252.5,185.8,-66.69999999999999,271.1470588235294,195.6064516129033,-75.54060721062609,102.65107231324387,38.29741449483564,0.030872226227952666,*
Bean,800nm pulsed 120s vs 400nm SHG 10mW 2s,35,17,169.0,252.5,83.5,178.87428571428572,271.1470588235294,92.27277310924367,27.424788517144197,102.65107231324387,0.0013250042496007015,**
Bean,800nm pulsed 120s vs UVC 6W 5s,35,27,169.0,239.9,70.9,178.87428571428572,267.0777777777777,88.203492063492,27.424788517144197,87.74663847750843,3.25395706587827e-06,***
Bean,Pooled control vs 400nm SHG 10mW 2s,93,17,156.5,252.5,96.0,155.28602150537634,271.1470588235294,115.86103731815305,16.935707013378888,102.65107231324387,1.373184700973974e-08,***
Bean,Pooled control vs 800nm pulsed 120s,93,35,156.5,169.0,12.5,155.28602150537634,178.87428571428572,23.58826420890938,16.935707013378888,27.424788517144197,6.5753326008552255e-06,***
Bean,Pooled control vs UVC 6W 2s,93,31,156.5,185.8,29.30000000000001,155.28602150537634,195.6064516129033,40.32043010752696,16.935707013378888,38.29741449483564,8.678984711939966e-11,***
Bean,Pooled control vs UVC 6W 5s,93,27,156.5,239.9,83.4,155.28602150537634,267.0777777777777,111.79175627240139,16.935707013378888,87.74663847750843,3.470688556738018e-13,***
Bean,UVC 6W 2s vs UVC 6W 5s,31,27,185.8,239.9,54.099999999999994,195.6064516129033,267.0777777777777,71.47132616487443,38.29741449483564,87.74663847750843,0.00039987486122248746,***
Motion,400nm SHG 10mW 2s vs UVC 6W 2s,16,31,279.0,205.8,-73.19999999999999,310.6875,217.3161290322581,-93.37137096774191,105.3832489851526,39.856560286224685,0.0009413606344823408,***
Motion,800nm pulsed 120s vs 400nm SHG 10mW 2s,35,16,199.39999999999998,279.0,79.60000000000002,206.9857142857143,310.6875,103.7017857142857,31.135436052049446,105.3832489851526,0.00013210552101904446,***
Motion,800nm pulsed 120s vs UVC 6W 5s,35,27,199.39999999999998,264.9,65.5,206.9857142857143,291.7333333333333,84.747619047619,31.135436052049446,88.02239662547429,1.1025131892137315e-05,***
Motion,Pooled control vs 400nm SHG 10mW 2s,93,16,177.20000000000002,279.0,101.79999999999998,177.53333333333336,310.6875,133.15416666666664,16.93164860956195,105.3832489851526,4.151996374288795e-09,***
Motion,Pooled control vs 800nm pulsed 120s,93,35,177.20000000000002,199.39999999999998,22.19999999999996,177.53333333333336,206.9857142857143,29.452380952380935,16.93164860956195,31.135436052049446,5.914062786717059e-07,***
Motion,Pooled control vs UVC 6W 2s,93,31,177.20000000000002,205.8,28.599999999999994,177.53333333333336,217.3161290322581,39.78279569892473,16.93164860956195,39.856560286224685,4.0923015382910104e-10,***
Motion,Pooled control vs UVC 6W 5s,93,27,177.20000000000002,264.9,87.69999999999996,177.53333333333336,291.7333333333333,114.19999999999993,16.93164860956195,88.02239662547429,1.7849683085214376e-13,***
Motion,UVC 6W 2s vs UVC 6W 5s,31,27,205.8,264.9,59.099999999999966,217.3161290322581,291.7333333333333,74.4172043010752,39.856560286224685,88.02239662547429,0.00011157368914093844,***
